PERSON_ID,NOMBRE,APELLIDO,TEAM_ID,SEASON_ID,TEAM_ABBREVIATION,ALTURA_CM
201571,D.J.,Augustin,1610612745,2022-23,HOU,180
203115,Will,Barton,1610612761,2022-23,TOR,196
203920,Khem,Birch,1610612759,2022-23,SAS,203
1630547,James,Bouknight,1610612766,2022-23,CHA,193
1631219,John,Butler,1610612757,2022-23,POR,213
1630176,Vernon,Carey,1610612762,2022-23,UTA,208
203487,Michael,Carter-Williams,1610612753,2022-23,ORL,196
1626161,Willie,Cauley-Stein,1610612745,2022-23,HOU,213
1641645,Xavier,Cooks,1610612764,2022-23,WAS,203
1630620,Darius,Days,1610612745,2022-23,HOU,201
203473,Dewayne,Dedmon,1610612755,2022-23,PHI,208
203521,Matthew,Dellavedova,1610612758,2022-23,SAC,190
1628977,Hamidou,Diallo,1610612765,2022-23,DET,196
203476,Gorgui,Dieng,1610612759,2022-23,SAS,208
1628408,PJ,Dozier,1610612758,2022-23,SAC,198
201609,Goran,Dragic,1610612749,2022-23,MIL,193
1629117,Wenyen,Gabriel,1610612747,2022-23,LAL,206
200752,Rudy,Gay,1610612762,2022-23,UTA,203
201980,Danny,Green,1610612739,2022-23,CLE,198
203210,JaMychal,Green,1610612744,2022-23,GSW,206
201933,Blake,Griffin,1610612738,2022-23,BOS,206
1630181,R.J.,Hampton,1610612765,2022-23,DET,193
1626149,Montrezl,Harrell,1610612755,2022-23,PHI,201
203925,Joe,Harris,1610612751,2022-23,BKN,198
1627885,Shaquille,Harrison,1610612747,2022-23,LAL,193
2617,Udonis,Haslem,1610612748,2022-23,MIA,201
1630165,Killian,Hayes,1610612765,2022-23,DET,196
1626195,Willy,Hernangomez,1610612740,2022-23,NOP,211
201588,George,Hill,1610612754,2022-23,IND,193
1627863,Danuel,House,1610612755,2022-23,PHI,198
1631309,Trevor,Hudgins,1610612745,2022-23,HOU,183
2738,Andre,Iguodala,1610612744,2022-23,GSW,198
1630637,Carlik,Jones,1610612741,2022-23,CHI,183
1629662,Mfiondu,Kabengele,1610612738,2022-23,BOS,208
1626163,Frank,Kaminsky,1610612745,2022-23,HOU,213
1631211,Trevor,Keels,1610612752,2022-23,NYK,193
1629663,Louis,King,1610612755,2022-23,PHI,201
1630233,Nathan,Knight,1610612750,2022-23,MIN,203
1627788,Furkan,Korkmaz,1610612755,2022-23,PHI,201
1630237,Anthony,Lamb,1610612744,2022-23,GSW,198
1629641,Romeo,Langford,1610612759,2022-23,SAS,196
203086,Meyers,Leonard,1610612749,2022-23,MIL,213
1631171,Justin,Lewis,1610612741,2022-23,CHI,201
1630587,Isaiah,Livers,1610612765,2022-23,DET,198
201577,Robin,Lopez,1610612739,2022-23,CLE,216
1630177,Theo,Maledon,1610612766,2022-23,CHA,193
203585,Rodney,McGruder,1610612765,2022-23,DET,193
203526,Raul,Neto,1610612739,2022-23,CLE,188
1629669,Jaylen,Nowell,1610612750,2022-23,MIN,193
1628373,Frank,Ntilikina,1610612742,2022-23,DAL,193
