PERSON_ID,NOMBRE,APELLIDO,TEAM_ID,TEAM_ABBREVIATION,ALTURA_CM,SEASON_ID,GP,PTS,AST,REB,BLK,MIN,FG_PCT,FG3_PCT,FT_PCT
1629641,Romeo,Langford,1610612759,SAS,196,2021-22,44,207,19,104,16,728,0.429,0.349,0.588
203086,Meyers,Leonard,1610612749,MIL,213,2021-22,0,0,0,0,0,0,,,
1631171,Justin,Lewis,1610612741,CHI,201,2021-22,0,0,0,0,0,0,,,
1630587,Isaiah,Livers,1610612765,DET,198,2021-22,19,121,21,57,7,383,0.456,0.422,0.857
201577,Robin,Lopez,1610612739,CLE,216,2021-22,36,254,54,126,18,612,0.553,0.333,0.593
1630177,Theo,Maledon,1610612766,CHA,193,2021-22,51,361,111,131,11,908,0.375,0.293,0.79
203585,Rodney,McGruder,1610612765,DET,193,2021-22,51,273,48,111,7,754,0.436,0.397,0.731
203526,Raul,Neto,1610612739,CLE,188,2021-22,70,526,217,134,3,1372,0.463,0.292,0.769
1629669,Jaylen,Nowell,1610612750,MIN,193,2021-22,62,527,130,123,10,975,0.475,0.394,0.783
1628373,Frank,Ntilikina,1610612742,DAL,193,2021-22,58,240,69,79,7,685,0.399,0.342,0.96
